t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,-3.469446951953614189e-18,-1.734723475976807094e-18,-1.387778780781445676e-17,-1.527150000000000007e+00,8.673617379884035472e-19,1.867499999999999938e+00,-6.591949208711866959e-17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.469446951953614189e-18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775557561562891351e-17,0.000000000000000000e+00,-6.938893903907228378e-18,0.000000000000000000e+00,4.336808689942017736e-19,-2.775557561562891351e-17
1.000000000000000021e-02,2.123181303280884489e-07,3.060716175221912887e-08,-3.065601800251857881e-08,-1.527149950966898873e+00,-8.971610218266484567e-08,1.867500053450351638e+00,-9.104322982991149996e-08,6.376146957633694961e-05,9.139881764068653571e-06,-9.236937822490903668e-06,1.470109519888169639e-05,-2.696141103171407143e-05,1.600026443424962599e-05,-2.725654845957363990e-05,1.277838041318347072e-02,1.811035739367847664e-03,-1.863402816862603931e-03,2.936639649443909244e-03,-5.410796195242647405e-03,3.186060598970697367e-03,-5.428626989739370953e-03
2.000000000000000042e-02,1.703696989735050611e-06,2.414625266875412994e-07,-2.484435172638288123e-07,-1.527149608460096841e+00,-7.214078732031703413e-07,1.867500424793272273e+00,-7.237865612604248493e-07,2.560566730150653928e-04,3.587857337246446821e-05,-3.758452953255299041e-05,5.865668927516845164e-05,-1.085743382183638187e-04,6.343581988182212048e-05,-1.081075093171810408e-04,2.570347404413983461e-02,3.519433185313383325e-03,-3.821743610177972227e-03,5.850449332742830438e-03,-1.092911345006723940e-02,6.286506171507967415e-03,-1.071774990203980087e-02
2.999999999999999889e-02,5.766481553862009415e-06,8.033899188705517333e-07,-8.491767239442061639e-07,-1.527148681121001550e+00,-2.446847153746038951e-06,1.867501424046046354e+00,-2.427086297952393441e-06,5.782542614937336185e-04,7.918003594593162639e-05,-8.598034210312959760e-05,1.316250278276855643e-04,-2.458781409018192306e-04,1.414340869266957827e-04,-2.411241213700892488e-04,3.875555552791024039e-02,5.123281971334152363e-03,-5.872640134368931064e-03,8.738744032162890085e-03,-1.654776599135269338e-02,9.298064174539669158e-03,-1.586065058046485371e-02
4.000000000000000083e-02,1.370571421941004434e-05,1.876759345601077222e-06,-2.037924464318833174e-06,-1.527146880142213448e+00,-5.827838569803492875e-06,1.867503352337879674e+00,-5.715177846355116270e-06,1.031524795184687003e-03,1.379897548669865013e-04,-1.553375339886376165e-04,2.333376879613564944e-04,-4.398398680723807162e-04,2.490901647584058002e-04,-4.248112316209826296e-04,5.191473579337813060e-02,6.620797637045510407e-03,-8.013593390841150521e-03,1.159887544292972743e-02,-2.225947882911355827e-02,1.221754341206111351e-02,-2.085077000671533426e-02
5.000000000000000278e-02,2.683714608586120241e-05,3.611308566921451987e-06,-4.028760288341916090e-06,-1.527143919532337080e+00,-1.143549209908584876e-05,1.867506501590805890e+00,-1.108701987244162941e-05,1.616839219417527890e-03,2.112360082425699379e-04,-2.465437015805511966e-04,3.634999566320675445e-04,-6.913534055243624821e-04,3.854676607342993736e-04,-6.576089219254012104e-04,6.516098473471962360e-02,8.010323486288998401e-03,-1.024199044499097232e-02,1.442823420893051684e-02,-2.805689563185344640e-02,1.504183724306367917e-02,-2.568171532766249168e-02
5.999999999999999778e-02,4.648523413510056220e-05,6.145977440410432791e-06,-7.044501200695596341e-06,-1.527139516376898154e+00,-1.984948750399819143e-05,1.867511154209049007e+00,-1.902565507370441948e-05,2.334967568315150874e-03,2.978311532791734538e-04,-3.604597544234653620e-04,5.217912311248893743e-04,-1.001238702067007175e-03,5.495995517042120537e-04,-9.378942051130573871e-04,7.847415403072531548e-02,9.290332311223498465e-03,-1.255510736078595257e-02,1.722425211337081166e-02,-3.393258666096251458e-02,1.776792672557109612e-02,-3.034726672198142725e-02
7.000000000000000666e-02,7.398112659051962400e-05,9.608755213481109071e-06,-1.131643529257433608e-05,-1.527133391095148562e+00,-3.165733142447280508e-05,1.867517582777154628e+00,-2.999758825272825426e-05,3.186477897262782362e-03,3.966729292216565291e-04,-4.979188203518484894e-04,7.078654412058132169e-04,-1.370241075341073131e-03,7.404890764428442330e-04,-1.263982788944415089e-03,9.183400008800798875e-02,1.045942798068665372e-02,-1.495011224975114836e-02,1.998440422251132609e-02,-3.987905675604778988e-02,2.039288369359911271e-02,-3.484138409936521352e-02
8.000000000000000167e-02,1.106606387496983444e-04,1.411654092252661422e-05,-1.708403857917574378e-05,-1.527125267692540866e+00,-4.745360792873532110e-05,1.867526049767198382e+00,-4.445218236264854896e-05,4.171735445328356856e-03,5.066457754902912438e-04,-6.597251816749145903e-04,9.213514924686150905e-04,-1.799030597709259981e-03,9.571106585031889918e-04,-1.634130906193616804e-03,1.052202070839855785e-01,1.151634689125329014e-02,-1.742406843108023490e-02,2.270621098066050864e-02,-4.588875336304985147e-02,2.291387376390265768e-02,-3.915821362546360179e-02
8.999999999999999667e-02,1.578622215948059684e-04,1.977501704340096472e-05,-2.459468135884479138e-05,-1.527114874008668188e+00,-6.783922332505067110e-05,1.867536807255372411e+00,-6.282107317658783654e-05,5.290902028510047726e-03,6.266221636359530596e-04,-8.466532435041833424e-04,1.161853730380586758e-03,-2.288201562607796846e-03,1.198410858773547947e-03,-2.046537209081394741e-03,1.186124100854308860e-01,1.245995927955809157e-02,-1.997393769948174747e-02,2.538724025465025416e-02,-5.195407459697445191e-02,2.532815926942803830e-02,-4.329209406585629583e-02
