t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,-7.853140844539651527e-03,7.319709484408691569e-02,1.426341366521917918e-02,-5.004302256353672096e-01,-1.297089029686551709e-02,-4.534776473140933462e-03,-4.976637132212862087e-03,-7.263909162870119118e-04,5.885288576913727532e-03,-3.939095343312437603e-03,-7.181531057114901029e-03,-7.248233790182467828e-04,-3.226835122576046655e-02,3.350483653249219929e-03,-4.174951880461796883e-05,1.868046370560344505e-03,1.530881123428806667e-04,-1.125211221648053095e-01,-4.942628508693425182e-04,4.066592902581356306e-02,-1.937746586042204955e-04
1.000000000000000021e-02,-7.860180462944827903e-03,7.325597032353681204e-02,1.422416863337603275e-02,-5.005077147220609035e-01,-1.297841128193732811e-02,-4.855341320037398489e-03,-4.943305788959284457e-03,-6.589111666231260841e-04,5.882608076809945664e-03,-3.896150847408275195e-03,-8.321230520774396469e-03,-8.040329692656968813e-04,-3.183566641074896814e-02,3.299448659328872279e-03,1.353090228722362426e-02,-2.451405139767211944e-03,8.409039746921649627e-03,-1.154876035123715838e-01,-1.528957491760466088e-02,4.603680355196290708e-02,-9.995376060206397420e-03
2.000000000000000042e-02,-7.865867407659246982e-03,7.331459832240140584e-02,1.418576312833900489e-02,-5.005967559947213097e-01,-1.298745824886836028e-02,-5.171294242078516845e-03,-4.910973040660099320e-03,-4.559394810304130252e-04,5.835324460786768357e-03,-3.771465406864001144e-03,-9.492653348410335507e-03,-1.029424647313656590e-03,-3.134431741371448976e-02,3.150953186408355939e-03,2.705357376651825255e-02,-7.051651538228755761e-03,1.649973919246542145e-02,-1.188651361152929242e-01,-2.972783173435113516e-02,5.239696484719352787e-02,-1.968386492656600331e-02
2.999999999999999889e-02,-7.868849564355136217e-03,7.337251886343690299e-02,1.414900614384062214e-02,-5.006976871717891964e-01,-1.299947488264639218e-02,-5.481999317589414389e-03,-4.880607636411534930e-03,-1.180674287213873364e-04,5.740657990764010468e-03,-3.566737406346473776e-03,-1.069988953642625473e-02,-1.397343097265919820e-03,-3.078446715432497927e-02,2.906188330606305006e-03,4.050792750851298085e-02,-1.192700561266511750e-02,2.441604147617783965e-02,-1.226495418092792833e-01,-4.379215087913797266e-02,5.973507891333716679e-02,-2.924726705722147102e-02
4.000000000000000083e-02,-7.867781649605701602e-03,7.342924446085874468e-02,1.411468923531569893e-02,-5.008108866552851701e-01,-1.301586747807524994e-02,-5.786722838388325130e-03,-4.853165817687874438e-03,3.539305538634636319e-04,5.595887142080624085e-03,-3.283755837025568829e-03,-1.194698505909501385e-02,-1.903966314865250184e-03,-3.014639716450840529e-02,2.566464309857484360e-03,5.387573082642106020e-02,-1.707151292502182699e-02,3.214897184030729438e-02,-1.268361951015642974e-01,-5.746607990140354533e-02,6.803875968272547758e-02,-3.867373444622892315e-02
5.000000000000000278e-02,-7.861327033986908325e-03,7.348426071573298246e-02,1.408358562250350450e-02,-5.009367730683040865e-01,-1.303800329466792141e-02,-6.084634548264800102e-03,-4.829590133648312827e-03,9.590983105249196051e-04,5.398351244369450040e-03,-2.924398547572825118e-03,-1.323793741909378568e-02,-2.545309990473218140e-03,-2.942051803583451558e-02,2.133209137453986621e-03,6.713887578127304689e-02,-2.247895812554737138e-02,3.968973508692918983e-02,-1.314200280094279805e-01,-7.073361290212629160e-02,7.729458385312834579e-02,-4.795155816532901960e-02
5.999999999999999778e-02,-7.848159552705768691e-03,7.353702693745682584e-02,1.405644931000454671e-02,-5.010758047482568589e-01,-1.306720895619121331e-02,-6.374808985180946408e-03,-4.810808270350423223e-03,1.696299312312327112e-03,5.145453058180038397e-03,-2.490630402490277839e-03,-1.457669124865294472e-02,-3.317232055633881002e-03,-2.859737971340356802e-02,1.607967167363953719e-03,8.027939906199885178e-02,-2.814287148790133031e-02,4.702972476554119485e-02,-1.363955353435910567e-01,-8.357920666781799846e-02,8.748810674883489291e-02,-5.706918112306506863e-02
7.000000000000000666e-02,-7.826965301767071365e-03,7.358697679067491282e-02,1.403401422671061646e-02,-5.012284791964030095e-01,-1.310476889647485196e-02,-6.656226925598085487e-03,-4.797731895146154640e-03,2.564218202525953526e-03,4.834661285173307357e-03,-1.984501349388135237e-03,-1.596713396574117594e-02,-4.215437388680821733e-03,-2.766768162606343673e-02,9.923975126344799016e-04,9.327950170098985028e-02,-3.405653565854976916e-02,5.416053219418173054e-02,-1.417567804311628266e-01,-9.598779634258278182e-02,9.860387919093380193e-02,-6.601521068658210145e-02
8.000000000000000167e-02,-7.796444417707396046e-03,7.363351896695653764e-02,1.401699338501039005e-02,-5.013953324842308490e-01,-1.315192385305261058e-02,-6.927776929245288429e-03,-4.791255517522535583e-03,3.561362537967357935e-03,4.463513009779126843e-03,-1.408144396921621284e-03,-1.741309148965426018e-02,-5.235482674691259095e-03,-2.662228264295192492e-02,2.882723383181742642e-04,1.061215686047515400e-01,-4.021299261363921185e-02,6.107395530492704117e-02,-1.474974012724000194e-01,-1.079448106229004556e-01,1.106254653588830128e-01,-7.477843115296095577e-02
8.999999999999999667e-02,-7.755312838943476637e-03,7.367603788053884994e-02,1.400607806065485086e-02,-5.015769386173165589e-01,-1.320986941015460728e-02,-7.188256982544327656e-03,-4.792255367633942859e-03,4.686064724487508382e-03,4.029616070276783278e-03,-7.637735051888315573e-04,-1.891832402031471544e-02,-6.372781414938655589e-03,-2.545221084654564203e-02,-5.025249695070354867e-04,1.187881878794501689e-01,-4.660505081636927283e-02,6.776200730478269818e-02,-1.536106171250887220e-01,-1.194361864602573320e-01,1.235354616244740272e-01,-8.334781605707884677e-02
