t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
0.000000000000000000e+00,4.163336342344337027e-17,-2.775557561562891351e-17,1.040834085586084257e-17,-1.527150000000000007e+00,-1.994931997373328159e-17,1.867499999999999938e+00,-1.318389841742373392e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.551115123125782702e-17,0.000000000000000000e+00,-3.469446951953614189e-18,0.000000000000000000e+00,-8.326672684688674053e-17
1.000000000000000021e-02,7.326281776522895056e-08,2.157083178111127153e-07,-1.605244677250258073e-07,-1.527149955287667282e+00,-6.103736240189398116e-08,1.867500069453763345e+00,2.415284730056992471e-08,2.203440086157308804e-05,6.469795004356861633e-05,-4.806185635909459783e-05,1.342754164950659725e-05,-1.835282236100092747e-05,2.088391100007764428e-05,7.347490381979376872e-06,4.429032803995655923e-03,1.293347976485030061e-02,-9.573971667519852458e-03,2.690997954149051095e-03,-3.687156608542323764e-03,4.195817525198220974e-03,1.510114085848026505e-03
2.000000000000000042e-02,5.905189747088760571e-07,1.724386140631445352e-06,-1.276474878833012971e-06,-1.527149641212893760e+00,-4.916065746259556599e-07,1.867500559421493289e+00,2.013380132630162439e-07,8.901667086338820034e-05,2.585182105493695048e-04,-1.906909572471368955e-04,5.392501419896906373e-05,-7.406960346721875362e-05,8.428922664362181738e-05,3.101063193116336547e-05,8.988864797517277100e-03,2.582154641748066887e-02,-1.891140845945758764e-02,5.413510638441135746e-03,-7.472252025521488109e-03,8.503492275256737190e-03,3.262724963472319120e-03
2.999999999999999889e-02,2.007715567342192517e-06,5.814694660467856213e-06,-4.281493899030257289e-06,-1.527148785548410714e+00,-1.670189872731743519e-06,1.867501900630535561e+00,7.067952913122465403e-07,2.022332706656856244e-04,5.809193054308165426e-04,-4.254611447749015105e-04,1.217932098475527775e-04,-1.681134120695724826e-04,1.913105814879533656e-04,7.340182233510871013e-05,1.367516383325161240e-02,3.864674413823603744e-02,-2.800018940567160219e-02,8.164658239119344102e-03,-1.135200971485640295e-02,1.291820908870974435e-02,5.255277474852873207e-03
4.000000000000000083e-02,4.793445117956063664e-06,1.376900891533316268e-05,-1.008436070589792399e-05,-1.527147113203885631e+00,-3.984735098320167646e-06,1.867504534511085446e+00,1.739756595753880544e-06,3.629265691068280300e-04,1.031185627791088213e-03,-7.498262984825003127e-04,2.173038635045997091e-04,-3.014141761681243706e-04,3.429936391550290203e-04,1.369066795104938866e-04,1.848344436553998535e-02,5.139170580033049218e-02,-3.682844509825711210e-02,1.094150957886956370e-02,-1.532307853311317379e-02,1.743498988382657933e-02,7.484971348146083128e-03
5.000000000000000278e-02,9.428497054445690237e-06,2.686168123684513215e-05,-1.956780415385012822e-05,-1.527144346519016649e+00,-7.832320607803261100e-06,1.867508912698426338e+00,3.523165961247850392e-06,5.722933296272211118e-04,1.608428423142381665e-03,-1.161122914668345947e-03,3.406991532699816388e-04,-4.748679511316176039e-04,5.403334917583376557e-04,2.238816065645906489e-04,2.340907155823787611e-02,6.403917220950103295e-02,-4.538457039479596583e-02,1.374108495082104579e-02,-1.938203557536517796e-02,2.204869941562682262e-02,9.948764454536350096e-03
5.999999999999999778e-02,1.640539426196068774e-05,4.635731549014650288e-05,-3.358734236435373388e-05,-1.527140205561479114e+00,-1.361881300597500566e-05,1.867515496519454699e+00,6.303375359317450743e-06,8.314832385571124806e-04,2.311586964433823624e-03,-1.656572811587517929e-03,4.921912295741672980e-04,-6.893362164884010192e-04,7.842731178215964910e-04,3.366513904263408741e-04,2.844726554902749643e-02,7.657201122274930050e-02,-5.365723688693257998e-02,1.656035901602034843e-02,-2.352538906316101880e-02,2.675405121608697909e-02,1.264337628467931789e-02
7.000000000000000666e-02,2.622791513379879591e-05,7.350905401778875387e-05,-5.297014998591718926e-05,-1.527134408429434487e+00,-2.175851799275912296e-05,1.867524756464085112e+00,1.034981667802099131e-05,1.141597476813624445e-03,3.139429917579752635e-03,-2.233285958110002578e-03,6.719617735987471266e-04,-9.456452017967685890e-04,1.075701900487946450e-03,4.775068363241999347e-04,3.359310586619476680e-02,8.897323672633106195e-02,-6.163540512160402274e-02,1.939626376157534485e-02,-2.774958127200955610e-02,3.154561371094152800e-02,1.556529164100003623e-02
8.000000000000000167e-02,3.941060156207069551e-05,1.095568791851285820e-04,-7.851395434939519025e-05,-1.527126671558306725e+00,-3.267382461516368623e-05,1.867537171642144278e+00,1.595465023493045087e-05,1.503687336510194789e-03,4.090556895981949624e-03,-2.888263423302468019e-03,8.801615855698226298e-04,-1.244585241976839049e-03,1.415454207751933730e-03,6.487024402500735087e-04,3.884153599372375254e-02,1.012260274532988669e-01,-6.930833656246601637e-02,2.224569151659432434e-02,-3.205099149577263218e-02,3.641781650629540013e-02,1.871076454189732688e-02
8.999999999999999667e-02,5.647825332542400281e-05,1.557259314089931221e-04,-1.109859617114128394e-04,-1.527116710031523716e+00,-4.679484322195576022e-05,1.867553229226385891e+00,2.343239021276389070e-05,1.918752883941131360e-03,5.163400202343038439e-03,-3.618400444274036745e-03,1.116910203487444381e-03,-1.586910162460028256e-03,1.804308036377787194e-03,8.524541015074958705e-04,4.418736808041123787e-02,1.133137456210700916e-01,-7.666560527929668079e-02,2.510549802297964289e-02,-3.642593904534083271e-02,4.136495683808023155e-02,2.207582233372491765e-02
1.000000000000000056e-01,7.796540934430643346e-05,2.132248455330703479e-04,-1.511218147563723330e-04,-1.527104237894917338e+00,-6.455903741972948175e-05,1.867573423882269212e+00,3.311950743041568515e-05,2.387741670358659724e-03,6.356226755876067010e-03,-4.420489609506226408e-03,1.382295552824939003e-03,-1.973336694485633078e-03,2.242983721096748762e-03,1.090936877400722205e-03,4.962528778855616884e-02,1.252199553696779488e-01,-8.369710935340245184e-02,2.797250555806918282e-02,-4.087068627895265593e-02,4.638120617721525063e-02,2.565627000621641118e-02
1.100000000000000006e-01,1.044158162887376222e-04,2.832441073937390710e-04,-1.996245824971813743e-04,-1.527088968474468622e+00,-8.641085033451317843e-05,1.867598257185162591e+00,4.537400987941753172e-05,2.911547491915789793e-03,7.667140202819141062e-03,-5.291224154767903975e-03,1.676373627700844526e-03,-2.404543920847843595e-03,2.732142710604054670e-03,1.366282782076320285e-03,5.514985927763352280e-02,1.369284409815696435e-01,-9.039308198731486887e-02,3.084350610605815848e-02,-4.538144166150947373e-02,5.146061698316459904e-02,2.944769470684389587e-02
