t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
1.000000000000000056e-01,2.443134562326940563e-04,3.743378284323880959e-04,-6.736502316467580121e-05,-1.526887851263191598e+00,4.557564140367846529e-04,1.868360897108249707e+00,-6.936235369031918101e-04,7.608564204353553996e-03,1.120170511335654914e-02,-2.277555411470848831e-03,7.941957283685933608e-03,1.368290471180049796e-02,2.574594794524633426e-02,-2.063646568514533250e-02,1.628848278539428429e-01,2.225352315079766885e-01,-5.572772157751790939e-02,1.617227739036398715e-01,2.736978535523196809e-01,5.108668977958851221e-01,-4.053831011210496382e-01
1.100000000000000006e-01,3.288664924499440281e-04,4.978411906149662544e-04,-9.307227194719157846e-05,-1.526800062982412554e+00,6.067231618058867076e-04,1.868644722316903373e+00,-9.208901056700777776e-04,9.334559513037018336e-03,1.353483630555908125e-02,-2.878663592333238069e-03,9.643998039733724104e-03,1.655567657849759192e-02,3.110112255636977852e-02,-2.487988081314348662e-02,1.823941628157942363e-01,2.440562668733512741e-01,-6.458910637897137541e-02,1.787020471471348071e-01,3.008365232967222802e-01,5.600833777086090537e-01,-4.432023360648051358e-01
1.199999999999999956e-01,4.316628030170309373e-04,6.457483541131183022e-04,-1.252431491589413629e-04,-1.526694403720364690e+00,7.877724690638010984e-04,1.868984551435872721e+00,-1.192471926229229451e-03,1.125799063717382829e-02,1.608210030990494740e-02,-3.571224610711657907e-03,1.151630884347854336e-02,1.969919804268209160e-02,3.694584454490820735e-02,-2.949851971131913289e-02,2.023664202693881697e-01,2.653582646262167000e-01,-7.401658572955822912e-02,1.957745025026890739e-01,3.278440532886691128e-01,6.087685877928150635e-01,-4.804237808228302709e-01
1.300000000000000044e-01,5.546993313849145953e-04,8.201893428371057407e-04,-1.648203142080699197e-04,-1.526569166345916440e+00,1.001604902936060679e-03,1.869385252599005787e+00,-1.512090941652130625e-03,1.338331817961801312e-02,1.884120111201371614e-02,-4.360846968230582335e-03,1.355975294540698838e-02,2.311204616067747200e-02,4.327456849601497846e-02,-3.448628317370391189e-02,2.227677270412471433e-01,2.864201217476394778e-01,-8.399953680468288941e-02,2.129264119160885760e-01,3.546981395336744058e-01,6.568760709876833026e-01,-5.170232677162845958e-01
1.400000000000000133e-01,7.000159186775494098e-04,1.023270167931338058e-03,-2.128019670086762970e-04,-1.526422635783188042e+00,1.250905686506282016e-03,1.869851636171955267e+00,-1.883406903949668386e-03,1.571465962023908813e-02,2.180963243256096168e-02,-5.253028931284878938e-03,1.577505591338947827e-02,2.679257513434522495e-02,5.008128708399874757e-02,-3.983683313926423414e-02,2.435633389037509811e-01,3.072208908932647087e-01,-9.452653686873527250e-02,2.301439684932871654e-01,3.813765179756135049e-01,7.043599093899113317e-01,-5.529771961366755084e-01
1.499999999999999944e-01,8.696918296328884487e-04,1.257070733170856380e-03,-2.702407057855010482e-04,-1.526253090392161171e+00,1.538342472552707303e-03,1.870388450160745508e+00,-2.310015014145527963e-03,1.825578082314899611e-02,2.498467936265489492e-02,-6.253150578020429118e-03,1.816280489153682468e-02,3.073891679577590158e-02,5.735953667916900145e-02,-4.554359844354275572e-02,2.647176843165533477e-01,3.277397961057203490e-01,-1.055853726448386376e-01,2.474132959517645891e-01,4.078569815631781226e-01,7.511747672190755010e-01,-5.882625486498012091e-01
1.600000000000000033e-01,1.065842195822955078e-03,1.523642757495834252e-03,-3.382423058322040084e-04,-1.526058803356229454e+00,1.866563122985691629e-03,1.871000375678547822e+00,-2.795443620662488304e-03,2.101008798689363299e-02,2.836342015590278057e-02,-7.366465943540768946e-03,2.072344795356923647e-02,3.494898126277037192e-02,6.510240338160618034e-02,-5.159978072881469396e-02,2.861944092699370557e-01,3.479562484379946641e-01,-1.171630505885465634e-01,2.647204580704380361e-01,4.341173973390000107e-01,7.972759332303865909e-01,-6.228569065930840143e-01
1.700000000000000122e-01,1.290614380635455487e-03,1.825007716246390341e-03,-4.179644202491428293e-04,-1.525838044075740640e+00,2.238193495694317924e-03,1.871692022474906070e+00,-3.343151977581968002e-03,2.398062004837907615e-02,3.194272817622009070e-02,-8.598095272334318334e-03,2.345729355065181987e-02,3.942045776526852119e-02,7.330252947612816983e-02,-5.799836050763711864e-02,3.079564231796309004e-01,3.678498614772403030e-01,-1.292458080568775203e-01,2.820514681321704131e-01,4.601357235382206312e-01,8.426193625345064220e-01,-6.567384651550240982e-01
1.799999999999999933e-01,1.546184270605788355e-03,2.163154802649480332e-03,-5.106152037805615062e-04,-1.525589079566590733e+00,2.655835240512412557e-03,1.872467924531588723e+00,-3.956528064284438838e-03,2.717004155078700869e-02,3.571927400033700351e-02,-9.953017386828676497e-03,2.636451005359339433e-02,4.415081564275758624e-02,8.195212030232289224e-02,-6.473210337455861940e-02,3.299659457813985397e-01,3.874004667584982631e-01,-1.418191253630950444e-01,2.993922983529956339e-01,4.858900266832238968e-01,8.871617177846676805e-01,-6.898860479259661949e-01
1.900000000000000022e-01,1.834752497789679309e-03,2.540038911100083938e-03,-6.174518609529354440e-04,-1.525310175862923723e+00,3.122063606013104290e-03,1.873332535729193893e+00,-4.638886467924530771e-03,3.058063598521641724e-02,3.968952767384817393e-02,-1.143606218087878795e-02,2.944512538924740422e-02,4.913730551255209716e-02,9.104295153312826072e-02,-7.179356636065020725e-02,3.521845549725248770e-01,4.065881290578678420e-01,-1.548677387067155520e-01,3.167288892922607291e-01,5.113584986611885430e-01,9.308604096919417259e-01,-7.222791209098244902e-01
