t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
1.000000000000000056e-01,-9.273330031331788223e-05,-2.025228942197938441e-04,1.519712261297992244e-04,-1.527573191381421891e+00,-6.005028891044036444e-04,1.867317329089623446e+00,1.247620158625079717e-04,-2.636640159521246030e-03,-5.865091500183682895e-03,4.500676413023144661e-03,-1.266008010885509918e-02,-1.796649471218823846e-02,-5.556444403501092574e-03,3.875435730257053169e-03,-4.655968577273485176e-02,-1.086496080668054309e-01,8.719581638773048204e-02,-2.513955733023461314e-01,-3.571425239647726402e-01,-1.139134818108149122e-01,8.270443695598007905e-02
1.100000000000000006e-01,-1.214695411158692742e-04,-2.667399004578994829e-04,2.014637539143290833e-04,-1.527712767850244679e+00,-7.986063805547223820e-04,1.867255867113430945e+00,1.678156334892639808e-04,-3.114594097273499628e-03,-6.991427892295706652e-03,5.410292928585217105e-03,-1.529570717269523525e-02,-2.171225814671210591e-02,-6.756169176904586703e-03,4.751805804888657031e-03,-4.895104889145944493e-02,-1.165203443298459818e-01,9.467364161304402115e-02,-2.756913242382237339e-01,-3.919750282819603471e-01,-1.260442044385958749e-01,9.261511341950062759e-02
1.199999999999999956e-01,-1.550968113839611790e-04,-3.426040381535537635e-04,2.604208427534808012e-04,-1.527879911436240690e+00,-1.035905558956895902e-03,1.867181800150955473e+00,2.201330066267902501e-04,-3.614031012550059270e-03,-8.193537246226451423e-03,6.393028030575399236e-03,-1.817310050987354375e-02,-2.580526893248931419e-02,-8.077554822694852157e-03,5.728635653987146706e-03,-5.085340134911120469e-02,-1.238027681965006843e-01,1.018151192080476719e-01,-2.997452599647176807e-01,-4.265896321224726950e-01,-1.382428230796937663e-01,1.027950791263388258e-01
1.300000000000000044e-01,-1.938052057439778632e-04,-4.308434818138379943e-04,3.295564218219441824e-04,-1.528077027355844164e+00,-1.315861766987246485e-03,1.867093908482362785e+00,2.827320652970069536e-04,-4.129975753144729013e-03,-9.465494964359551927e-03,7.445386666150633805e-03,-2.128973543405343616e-02,-3.024327736106149564e-02,-9.521195158160035074e-03,6.808578423461660728e-03,-5.224987013246681911e-02,-1.304887345905269003e-01,1.085940208225262826e-01,-3.235361249019297336e-01,-4.609722108482359193e-01,-1.504922951111755947e-01,1.132363484961565470e-01
1.400000000000000133e-01,-2.377342373688853686e-04,-5.321267677196787980e-04,4.095481671955465003e-04,-1.528306494521058267e+00,-1.641913145639453024e-03,1.866990967303105542e+00,3.566568681000520293e-04,-4.657288563383753591e-03,-1.080129950326871348e-02,8.563614168172787103e-03,-2.464287627483860432e-02,-3.502389297011491986e-02,-1.108751318302047921e-02,7.994206325612209299e-03,-5.312441187567749218e-02,-1.365710009222435017e-01,1.149846579734893071e-01,-3.470429811737568149e-01,-4.951087392773470541e-01,-1.627755026715454745e-01,1.239307214380497568e-01
1.499999999999999944e-01,-2.869712338533065253e-04,-6.470620697373132609e-04,5.010349333015225734e-04,-1.528570663445833366e+00,-2.017473231753805479e-03,1.866871748435559697e+00,4.429767822586161007e-04,-5.190673508292429662e-03,-1.219488144163907717e-02,9.743701833555122940e-03,-2.822957965487788573e-02,-4.014458556653793808e-02,-1.277676041796776615e-02,9.288008525769763171e-03,-5.346183822385781187e-02,-1.420432355168601557e-01,1.209619178685794189e-01,-3.702452285595571602e-01,-5.289852973796365099e-01,-1.750752708502616162e-01,1.348697897224638842e-01
1.600000000000000033e-01,-3.415498185803792809e-04,-7.761965662116414224e-04,6.046142419318912501e-04,-1.528871854186208745e+00,-2.445929566061548228e-03,1.866735022046363213e+00,5.427856428497796490e-04,-5.724687146105161828e-03,-1.364011262697631746e-02,1.098139285643164216e-02,-3.204669796460327125e-02,-4.560268630632357406e-02,-1.458901642520903964e-02,1.069238909332854807e-02,-5.324784013373208558e-02,-1.469000249424375903e-01,1.265012985405545576e-01,-3.931226240657073046e-01,-5.625880759492716265e-01,-1.873743858963815567e-01,1.460449434865392915e-01
1.700000000000000122e-01,-4.014484800108180903e-04,-9.200158986749976380e-04,7.208398323337775583e-04,-1.529212354316171973e+00,-2.930642312311113832e-03,1.866579558367638558e+00,6.572008918731822233e-04,-6.253747438344193013e-03,-1.513081539005885039e-02,1.227218860905876334e-02,-3.609088303069948878e-02,-5.139538883106671563e-02,-1.652418851111954815e-02,1.220966501847543621e-02,-5.246901108153117360e-02,-1.511368802293212577e-01,1.315789432523975511e-01,-4.156553010975432838e-01,-5.959033822516098811e-01,-1.996556134286949225e-01,1.574473778678542324e-01
1.799999999999999933e-01,-4.665892312146907865e-04,-1.078943722992733783e-03,8.502192758157227316e-04,-1.529594416941156831e+00,-3.474942888041679216e-03,1.866404129420280444e+00,7.873626978214972021e-04,-6.772142886393966998e-03,-1.666077181601318888e-02,1.361135526295514063e-02,-4.035858997421787331e-02,-5.751975046079425835e-02,-1.858201161093098880e-02,1.384206429587997098e-02,-5.111286914956510163e-02,-1.547502419741134949e-01,1.361716741334108027e-01,-4.378237882126059244e-01,-6.289176456414805605e-01,-2.119017166297570698e-01,1.690680997614560643e-01
1.900000000000000022e-01,-5.368363618541556427e-04,-1.253341353456031851e-03,9.932116582343766473e-04,-1.530020258751050743e+00,-4.082132607565180059e-03,1.866207510737485364e+00,9.344330564271983389e-04,-7.274041883218491586e-03,-1.822373306082633593e-02,1.499393074239483391e-02,-4.484608125404957596e-02,-6.397269344282155434e-02,-2.076204835520609540e-02,1.559172407654794285e-02,-4.916787796413933653e-02,-1.577374843224803591e-01,1.402570250074862412e-01,-4.596090274365506323e-01,-6.616174231500561165e-01,-2.240954744062884640e-01,1.808979346950005118e-01
