t,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_0,ddq_1,ddq_2,ddq_3,ddq_4,ddq_5,ddq_6
1.000000000000000056e-01,-3.315116316630289939e-02,-6.998215726912188073e-02,-1.923494507251784225e-02,-4.954703140587262133e-01,7.634481290080364496e-03,7.601629251932440212e-02,8.229203967556483973e-04,-7.373291713480266754e-03,-2.958649312607527799e-03,8.434364407633608909e-03,4.027673268404023676e-03,5.043391514005882495e-03,-7.464457686005189149e-03,2.187499988862338235e-03,-8.574427246541602154e-02,2.544177993319370404e-02,2.980105941595890401e-02,-8.880496342026578116e-02,9.878315810288815224e-02,1.198995563741274417e-01,9.367642968256558941e-03
1.100000000000000006e-01,-3.322923448029302396e-02,-7.001035789460847980e-02,-1.914906690610814616e-02,-4.954345357832907748e-01,7.689940962177080341e-03,7.594780224841279903e-02,8.452942660534617202e-04,-8.245982337069810222e-03,-2.669956568262269510e-03,8.745694505077266506e-03,3.122017018956382839e-03,6.057047200740895559e-03,-6.217329858938577120e-03,2.290352875071061892e-03,-8.875092223905053923e-02,3.235318862174418192e-02,3.245640435268914298e-02,-9.238377264646266407e-02,1.038856415703268699e-01,1.296593265975106990e-01,1.121497939939169672e-02
1.199999999999999956e-01,-3.331617871482909360e-02,-7.003532041096958982e-02,-1.905994353534256128e-02,-4.954079987413844144e-01,7.755786058546668138e-03,7.589228452207086306e-02,8.687902188786523257e-04,-9.147441500118039942e-03,-2.310469455934570371e-03,9.083318067380144814e-03,2.178855329882083830e-03,7.119848413910858514e-03,-4.868626435197521279e-03,2.412033805860498183e-03,-9.149698239507755848e-02,3.959940990583636633e-02,3.505942376039505176e-02,-9.630531558742805309e-02,1.086113589027239701e-01,1.402124853227166568e-01,1.313258095210438799e-02
1.300000000000000044e-01,-3.341227042701495897e-02,-7.005632025983404843e-02,-1.896731467437792057e-02,-4.953910950490221232e-01,7.832489107368053455e-03,7.585079454327292581e-02,8.935999813971904227e-04,-1.007503376254626284e-02,-1.876877788497475098e-03,9.446702113965256900e-03,1.194783532603872073e-03,8.228001025905172516e-03,-3.410480592462275876e-03,2.553225127650586394e-03,-9.397658389358962139e-02,4.717279325650279576e-02,3.760818595982153012e-02,-1.005649991041620145e-01,1.129550838529723572e-01,1.515454853486526976e-01,1.511636913530564098e-02
1.400000000000000133e-01,-3.351775753010613479e-02,-7.007260016973129724e-02,-1.887092546242005731e-02,-4.953842506333265838e-01,7.920484440953131852e-03,7.582446549244559186e-02,9.199218975804794281e-04,-1.102606619822482821e-02,-1.365949754427505693e-03,9.835294749988855376e-03,1.664446646260277912e-04,9.377660665071911941e-03,-1.835164997406652301e-03,2.714567883590597586e-03,-9.618409977031709690e-02,5.506531535259715643e-02,4.010083989226785606e-02,-1.051578759365741633e-01,1.169119946752324168e-01,1.636439783890384081e-01,1.716216254965611740e-02
1.499999999999999944e-01,-3.363286073087283501e-02,-7.008337095835764918e-02,-1.877052664882423311e-02,-4.953879247378434325e-01,8.020167713611246404e-03,7.581450709276205124e-02,9.479605111040664833e-04,-1.199779085155815508e-02,-7.745356070051145989e-04,1.024852597586309137e-02,-9.094670143505768911e-04,1.056493678454484796e-02,-1.350997459446164756e-04,2.896660807581425030e-03,-9.811415226693163960e-02,6.326858788521498578e-02,4.253561576851169757e-02,-1.100786497804235320e-01,1.204776788231410600e-01,1.764928293194982789e-01,1.926568152771365380e-02
1.600000000000000033e-01,-3.375777299188150588e-02,-7.008781237133951403e-02,-1.866587477006928508e-02,-4.954026093929542185e-01,8.131895460430011921e-03,7.582220409674866879e-02,9.779261374205359438e-04,-1.298740726429765263e-02,-9.957127367978533573e-05,1.068580850283175170e-02,-2.036202558806881821e-03,1.178589677610529692e-02,1.697139842750175487e-03,3.100059365266793435e-03,-9.976161974505969032e-02,7.177386571896995915e-02,4.491082563042517878e-02,-1.153216807081464401e-01,1.236481372578447785e-01,1.900761311734351089e-01,2.142255288679453112e-02
1.700000000000000122e-01,-3.389265901938712244e-02,-7.008507395667587514e-02,-1.855673231854964439e-02,-4.954288288519352879e-01,8.255984697404744263e-03,7.584891469572707656e-02,1.010034426481767151e-03,-1.399206507038143477e-02,6.619181179286724162e-04,1.114653857372627926e-02,-3.216954929689052473e-03,1.303657012515639819e-02,3.668815585868134138e-03,3.325274843097366685e-03,-1.011216433763835743e-01,8.057205540221237805e-02,4.722486382552756878e-02,-1.208809909281613609e-01,1.264197883617753926e-01,2.043772208723921013e-01,2.362831478983015709e-02
1.799999999999999933e-01,-3.403765477750382573e-02,-7.007427597400994745e-02,-1.844286790313724722e-02,-4.954671389932256975e-01,8.392712563305562007e-03,7.589606885363608946e-02,1.044505916596550222e-03,-1.500886665652454918e-02,1.512814800841744394e-03,1.163009678803342446e-02,-4.454855645953806689e-03,1.431295260284780151e-02,5.787018957501119734e-03,3.572773486522851094e-03,-1.021896336014162798e-01,8.965372401794333146e-02,4.947620739480173419e-02,-1.267502708769092656e-01,1.287894714544629560e-01,2.193786956759249118e-01,2.587842170938994130e-02
1.900000000000000022e-01,-3.419286702930109112e-02,-7.005451033784415582e-02,-1.832405640147496614e-02,-4.955181266895263281e-01,8.542316003635292906e-03,7.596516656690588398e-02,1.081565579920065572e-03,-1.603486988621029286e-02,2.455905019710726521e-03,1.213584893040926295e-02,-5.752971498672638725e-03,1.561101049135527573e-02,8.058663777211342791e-03,3.842975688319910828e-03,-1.029612763497415179e-01,9.900910836684634342e-02,5.166341637418516569e-02,-1.329228856375587187e-01,1.307544499070546207e-01,2.350624303353049671e-01,2.816824948992970729e-02
